,Nome_UF,UF,co_imed,Uf,pop,region,pop_cat
0,Acre,12,120001,AC,456792,North,Large
1,Acre,12,120002,AC,71100,North,Small
2,Acre,12,120003,AC,60068,North,Small
3,Acre,12,120004,AC,153954,North,Medium
4,Acre,12,120005,AC,88112,North,Small
5,Alagoas,27,270001,AL,1264680,Northeast,Large
6,Alagoas,27,270002,AL,193725,Northeast,Medium
7,Alagoas,27,270003,AL,176927,Northeast,Medium
8,Alagoas,27,270004,AL,135038,Northeast,Medium
9,Alagoas,27,270005,AL,139937,Northeast,Medium
10,Alagoas,27,270006,AL,104456,Northeast,Small
11,Alagoas,27,270007,AL,546189,Northeast,Large
12,Alagoas,27,270008,AL,166397,Northeast,Medium
13,Alagoas,27,270009,AL,148869,Northeast,Medium
14,Alagoas,27,270010,AL,137195,Northeast,Medium
15,Alagoas,27,270011,AL,114098,Northeast,Small
16,Amapá,16,160001,AP,577823,North,Large
17,Amapá,16,160002,AP,46405,North,Small
18,Amapá,16,160003,AP,67246,North,Small
19,Amapá,16,160004,AP,42034,North,Small
20,Amazonas,13,130001,AM,2349381,North,Large
21,Amazonas,13,130002,AM,84790,North,Small
22,Amazonas,13,130003,AM,131957,North,Medium
23,Amazonas,13,130004,AM,141079,North,Medium
24,Amazonas,13,130005,AM,218871,North,Medium
25,Amazonas,13,130006,AM,210970,North,Medium
26,Amazonas,13,130007,AM,99419,North,Small
27,Amazonas,13,130008,AM,136736,North,Medium
28,Amazonas,13,130009,AM,155851,North,Medium
29,Amazonas,13,130010,AM,232561,North,Medium
30,Amazonas,13,130011,AM,179560,North,Medium
31,Bahia,29,290001,BA,3483472,Northeast,Large
32,Bahia,29,290002,BA,463982,Northeast,Large
33,Bahia,29,290003,BA,284380,Northeast,Medium
34,Bahia,29,290004,BA,271424,Northeast,Medium
35,Bahia,29,290005,BA,226727,Northeast,Medium
36,Bahia,29,290006,BA,166597,Northeast,Medium
37,Bahia,29,290007,BA,643183,Northeast,Large
38,Bahia,29,290008,BA,430835,Northeast,Large
39,Bahia,29,290009,BA,393705,Northeast,Large
40,Bahia,29,290010,BA,126154,Northeast,Medium
41,Bahia,29,290011,BA,867721,Northeast,Large
42,Bahia,29,290012,BA,345332,Northeast,Large
43,Bahia,29,290013,BA,227066,Northeast,Medium
44,Bahia,29,290014,BA,209569,Northeast,Medium
45,Bahia,29,290015,BA,140170,Northeast,Medium
46,Bahia,29,290016,BA,463740,Northeast,Large
47,Bahia,29,290017,BA,217476,Northeast,Medium
48,Bahia,29,290018,BA,523042,Northeast,Large
49,Bahia,29,290019,BA,138895,Northeast,Medium
50,Bahia,29,290020,BA,397535,Northeast,Large
51,Bahia,29,290021,BA,213471,Northeast,Medium
52,Bahia,29,290022,BA,536993,Northeast,Large
53,Bahia,29,290023,BA,293234,Northeast,Medium
54,Bahia,29,290024,BA,189141,Northeast,Medium
55,Bahia,29,290025,BA,192646,Northeast,Medium
56,Bahia,29,290026,BA,188052,Northeast,Medium
57,Bahia,29,290027,BA,116121,Northeast,Small
58,Bahia,29,290028,BA,94069,Northeast,Small
59,Bahia,29,290029,BA,1213245,Northeast,Large
60,Bahia,29,290030,BA,310892,Northeast,Medium
61,Bahia,29,290031,BA,211224,Northeast,Medium
62,Bahia,29,290032,BA,196478,Northeast,Medium
63,Bahia,29,290033,BA,179995,Northeast,Medium
64,Bahia,29,290034,BA,179851,Northeast,Medium
65,Ceará,23,230001,CE,3908886,Northeast,Large
66,Ceará,23,230002,CE,298961,Northeast,Medium
67,Ceará,23,230003,CE,222624,Northeast,Medium
68,Ceará,23,230004,CE,188666,Northeast,Medium
69,Ceará,23,230005,CE,144935,Northeast,Medium
70,Ceará,23,230006,CE,324725,Northeast,Medium
71,Ceará,23,230007,CE,377628,Northeast,Large
72,Ceará,23,230008,CE,153076,Northeast,Medium
73,Ceará,23,230009,CE,300665,Northeast,Medium
74,Ceará,23,230010,CE,106955,Northeast,Small
75,Ceará,23,230011,CE,859380,Northeast,Large
76,Ceará,23,230012,CE,185853,Northeast,Medium
77,Ceará,23,230013,CE,255571,Northeast,Medium
78,Ceará,23,230014,CE,100097,Northeast,Small
79,Ceará,23,230015,CE,588859,Northeast,Large
80,Ceará,23,230016,CE,410819,Northeast,Large
81,Ceará,23,230017,CE,221289,Northeast,Medium
82,Ceará,23,230018,CE,142699,Northeast,Medium
83,Distrito Federal,53,530001,DF,2817068,Center-West,Large
84,Espírito Santo,32,320001,ES,1946963,Southeast,Large
85,Espírito Santo,32,320002,ES,231735,Southeast,Medium
86,Espírito Santo,32,320003,ES,270047,Southeast,Medium
87,Espírito Santo,32,320004,ES,333118,Southeast,Large
88,Espírito Santo,32,320005,ES,301729,Southeast,Medium
89,Espírito Santo,32,320006,ES,134508,Southeast,Medium
90,Espírito Santo,32,320007,ES,421464,Southeast,Large
91,Espírito Santo,32,320008,ES,193922,Southeast,Medium
92,Goiás,52,520001,GO,2531956,Center-West,Large
93,Goiás,52,520002,GO,626393,Center-West,Large
94,Goiás,52,520003,GO,157371,Center-West,Medium
95,Goiás,52,520004,GO,170340,Center-West,Medium
96,Goiás,52,520005,GO,152956,Center-West,Medium
97,Goiás,52,520006,GO,57586,Center-West,Small
98,Goiás,52,520007,GO,197441,Center-West,Medium
99,Goiás,52,520008,GO,167610,Center-West,Medium
100,Goiás,52,520009,GO,69558,Center-West,Small
101,Goiás,52,520010,GO,343385,Center-West,Large
102,Goiás,52,520011,GO,236658,Center-West,Medium
103,Goiás,52,520012,GO,83418,Center-West,Small
104,Goiás,52,520013,GO,61900,Center-West,Small
105,Goiás,52,520014,GO,102350,Center-West,Small
106,Goiás,52,520015,GO,145872,Center-West,Medium
107,Goiás,52,520016,GO,131825,Center-West,Medium
108,Goiás,52,520017,GO,125482,Center-West,Medium
109,Goiás,52,520018,GO,255793,Center-West,Medium
110,Goiás,52,520019,GO,737540,Center-West,Large
111,Goiás,52,520020,GO,516528,Center-West,Large
112,Goiás,52,520021,GO,123781,Center-West,Medium
113,Goiás,52,520022,GO,59485,Center-West,Small
114,Maranhão,21,210001,MA,1646004,Northeast,Large
115,Maranhão,21,210002,MA,340491,Northeast,Large
116,Maranhão,21,210003,MA,268485,Northeast,Medium
117,Maranhão,21,210004,MA,236873,Northeast,Medium
118,Maranhão,21,210005,MA,244416,Northeast,Medium
119,Maranhão,21,210006,MA,118537,Northeast,Medium
120,Maranhão,21,210007,MA,172923,Northeast,Medium
121,Maranhão,21,210008,MA,123093,Northeast,Medium
122,Maranhão,21,210009,MA,403047,Northeast,Large
123,Maranhão,21,210010,MA,382704,Northeast,Large
124,Maranhão,21,210011,MA,197057,Northeast,Medium
125,Maranhão,21,210012,MA,191434,Northeast,Medium
126,Maranhão,21,210013,MA,255170,Northeast,Medium
127,Maranhão,21,210014,MA,260344,Northeast,Medium
128,Maranhão,21,210015,MA,220798,Northeast,Medium
129,Maranhão,21,210016,MA,233780,Northeast,Medium
130,Maranhão,21,210017,MA,143702,Northeast,Medium
131,Maranhão,21,210018,MA,79045,Northeast,Small
132,Maranhão,21,210019,MA,535016,Northeast,Large
133,Maranhão,21,210020,MA,266277,Northeast,Medium
134,Maranhão,21,210021,MA,222220,Northeast,Medium
135,Maranhão,21,210022,MA,233736,Northeast,Medium
136,Mato Grosso,51,510001,MT,1131098,Center-West,Large
137,Mato Grosso,51,510002,MT,254274,Center-West,Medium
138,Mato Grosso,51,510003,MT,73277,Center-West,Small
139,Mato Grosso,51,510004,MT,107385,Center-West,Small
140,Mato Grosso,51,510005,MT,109186,Center-West,Small
141,Mato Grosso,51,510006,MT,88418,Center-West,Small
142,Mato Grosso,51,510007,MT,304330,Center-West,Medium
143,Mato Grosso,51,510008,MT,307379,Center-West,Medium
144,Mato Grosso,51,510009,MT,128486,Center-West,Medium
145,Mato Grosso,51,510010,MT,111154,Center-West,Small
146,Mato Grosso,51,510011,MT,90349,Center-West,Small
147,Mato Grosso,51,510012,MT,53660,Center-West,Small
148,Mato Grosso,51,510013,MT,126003,Center-West,Medium
149,Mato Grosso,51,510014,MT,122390,Center-West,Medium
150,Mato Grosso,51,510015,MT,126140,Center-West,Medium
151,Mato Grosso,51,510016,MT,334221,Center-West,Large
152,Mato Grosso,51,510017,MT,138951,Center-West,Medium
153,Mato Grosso,51,510018,MT,52112,Center-West,Small
154,Mato Grosso do Sul,50,500001,MS,1091830,Center-West,Large
155,Mato Grosso do Sul,50,500002,MS,198672,Center-West,Medium
156,Mato Grosso do Sul,50,500003,MS,134526,Center-West,Medium
157,Mato Grosso do Sul,50,500004,MS,107539,Center-West,Small
158,Mato Grosso do Sul,50,500005,MS,454509,Center-West,Large
159,Mato Grosso do Sul,50,500006,MS,122413,Center-West,Medium
160,Mato Grosso do Sul,50,500007,MS,113824,Center-West,Small
161,Mato Grosso do Sul,50,500008,MS,112068,Center-West,Small
162,Mato Grosso do Sul,50,500009,MS,88209,Center-West,Small
163,Mato Grosso do Sul,50,500010,MS,117790,Center-West,Medium
164,Mato Grosso do Sul,50,500011,MS,110307,Center-West,Small
165,Mato Grosso do Sul,50,500012,MS,105013,Center-West,Small
166,Minas Gerais,31,310001,MG,5044666,Southeast,Large
167,Minas Gerais,31,310002,MG,406932,Southeast,Large
168,Minas Gerais,31,310003,MG,256210,Southeast,Medium
169,Minas Gerais,31,310004,MG,178578,Southeast,Medium
170,Minas Gerais,31,310005,MG,148469,Southeast,Medium
171,Minas Gerais,31,310006,MG,740731,Southeast,Large
172,Minas Gerais,31,310007,MG,210647,Southeast,Medium
173,Minas Gerais,31,310008,MG,182448,Southeast,Medium
174,Minas Gerais,31,310009,MG,143104,Southeast,Medium
175,Minas Gerais,31,310010,MG,133939,Southeast,Medium
176,Minas Gerais,31,310011,MG,104901,Southeast,Small
177,Minas Gerais,31,310012,MG,91855,Southeast,Small
178,Minas Gerais,31,310013,MG,452405,Southeast,Large
179,Minas Gerais,31,310014,MG,161862,Southeast,Medium
180,Minas Gerais,31,310015,MG,162373,Southeast,Medium
181,Minas Gerais,31,310016,MG,126317,Southeast,Medium
182,Minas Gerais,31,310017,MG,95307,Southeast,Small
183,Minas Gerais,31,310018,MG,90907,Southeast,Small
184,Minas Gerais,31,310019,MG,47620,Southeast,Small
185,Minas Gerais,31,310020,MG,418291,Southeast,Large
186,Minas Gerais,31,310021,MG,184023,Southeast,Medium
187,Minas Gerais,31,310022,MG,60356,Southeast,Small
188,Minas Gerais,31,310023,MG,58356,Southeast,Small
189,Minas Gerais,31,310024,MG,597416,Southeast,Large
190,Minas Gerais,31,310025,MG,226301,Southeast,Medium
191,Minas Gerais,31,310026,MG,151665,Southeast,Medium
192,Minas Gerais,31,310027,MG,711921,Southeast,Large
193,Minas Gerais,31,310028,MG,353512,Southeast,Large
194,Minas Gerais,31,310029,MG,267231,Southeast,Medium
195,Minas Gerais,31,310030,MG,178512,Southeast,Medium
196,Minas Gerais,31,310031,MG,176380,Southeast,Medium
197,Minas Gerais,31,310032,MG,170181,Southeast,Medium
198,Minas Gerais,31,310033,MG,166631,Southeast,Medium
199,Minas Gerais,31,310034,MG,111663,Southeast,Small
200,Minas Gerais,31,310035,MG,71610,Southeast,Small
201,Minas Gerais,31,310036,MG,52192,Southeast,Small
202,Minas Gerais,31,310037,MG,222672,Southeast,Medium
203,Minas Gerais,31,310038,MG,347540,Southeast,Large
204,Minas Gerais,31,310039,MG,187135,Southeast,Medium
205,Minas Gerais,31,310040,MG,198302,Southeast,Medium
206,Minas Gerais,31,310041,MG,258893,Southeast,Medium
207,Minas Gerais,31,310042,MG,249805,Southeast,Medium
208,Minas Gerais,31,310043,MG,227719,Southeast,Medium
209,Minas Gerais,31,310044,MG,157941,Southeast,Medium
210,Minas Gerais,31,310045,MG,126897,Southeast,Medium
211,Minas Gerais,31,310046,MG,123510,Southeast,Medium
212,Minas Gerais,31,310047,MG,117691,Southeast,Small
213,Minas Gerais,31,310048,MG,87046,Southeast,Small
214,Minas Gerais,31,310049,MG,57190,Southeast,Small
215,Minas Gerais,31,310050,MG,579323,Southeast,Large
216,Minas Gerais,31,310051,MG,271799,Southeast,Medium
217,Minas Gerais,31,310052,MG,199392,Southeast,Medium
218,Minas Gerais,31,310053,MG,184385,Southeast,Medium
219,Minas Gerais,31,310054,MG,72989,Southeast,Small
220,Minas Gerais,31,310055,MG,454402,Southeast,Large
221,Minas Gerais,31,310056,MG,178453,Southeast,Medium
222,Minas Gerais,31,310057,MG,106266,Southeast,Small
223,Minas Gerais,31,310058,MG,65964,Southeast,Small
224,Minas Gerais,31,310059,MG,961210,Southeast,Large
225,Minas Gerais,31,310060,MG,149127,Southeast,Medium
226,Minas Gerais,31,310061,MG,74588,Southeast,Small
227,Minas Gerais,31,310062,MG,507981,Southeast,Large
228,Minas Gerais,31,310063,MG,182870,Southeast,Medium
229,Minas Gerais,31,310064,MG,142520,Southeast,Medium
230,Minas Gerais,31,310065,MG,700435,Southeast,Large
231,Minas Gerais,31,310066,MG,171425,Southeast,Medium
232,Minas Gerais,31,310067,MG,141624,Southeast,Medium
233,Minas Gerais,31,310068,MG,140882,Southeast,Medium
234,Minas Gerais,31,310069,MG,115801,Southeast,Small
235,Minas Gerais,31,310070,MG,39429,Southeast,Small
236,Paraná,41,410001,PR,3559366,South,Large
237,Paraná,41,410002,PR,301405,South,Medium
238,Paraná,41,410003,PR,162553,South,Medium
239,Paraná,41,410004,PR,341016,South,Large
240,Paraná,41,410005,PR,78627,South,Small
241,Paraná,41,410006,PR,548026,South,Large
242,Paraná,41,410007,PR,420724,South,Large
243,Paraná,41,410008,PR,349552,South,Large
244,Paraná,41,410009,PR,294099,South,Medium
245,Paraná,41,410010,PR,279813,South,Medium
246,Paraná,41,410011,PR,105190,South,Small
247,Paraná,41,410012,PR,88757,South,Small
248,Paraná,41,410013,PR,84877,South,Small
249,Paraná,41,410014,PR,811915,South,Large
250,Paraná,41,410015,PR,324363,South,Medium
251,Paraná,41,410016,PR,301447,South,Medium
252,Paraná,41,410017,PR,201319,South,Medium
253,Paraná,41,410018,PR,159971,South,Medium
254,Paraná,41,410019,PR,63904,South,Small
